Time,Phase_rad,Amplitude,Phase_angle
2022-01-02 08:15:30,31836164.1647202,63.9219477811669,-0.654077802313027
2022-01-02 08:16:00,32119389.3819826,79.4877126788724,-2.58090716415811
2022-01-02 08:16:30,32402834.2940865,94.3191764387936,1.55880452281197
2022-01-02 08:17:00,32686467.9446993,75.6223205480144,-0.341719343239754
2022-01-02 08:17:30,32970323.7690092,67.8265926015363,0.0199680863585497
2022-01-02 08:18:00,33254441.0653472,79.6801237660749,-2.04009923815655
2022-01-02 08:18:30,33538689.1172175,67.2357107234319,0.991659558446091
2022-01-02 08:19:00,33823100.6938666,62.7480161997852,-2.09780615175343
2022-01-02 08:19:30,34107723.4333374,69.3186346583524,-1.3695652477914
2022-01-02 08:20:00,34392431.1197853,86.7560958697706,2.62424368959658
2022-01-02 08:20:30,34677221.2864594,75.6832895020974,1.13368455262134
