Time,C1C
2022-01-02 02:13:30,22865819.1467
2022-01-02 02:14:00,22879644.7347
2022-01-02 02:14:30,22893540.5087
2022-01-02 02:15:00,22907506.2957
2022-01-02 02:15:30,22921541.5727
2022-01-02 02:16:00,22935645.0787
2022-01-02 02:16:30,22949819.0657
2022-01-02 02:17:00,22964059.6407
2022-01-02 02:17:30,22978368.5697
2022-01-02 02:18:00,22992744.1897
2022-01-02 02:18:30,23007187.0157
2022-01-02 02:19:00,23021695.9327
2022-01-02 02:19:30,23036272.6067
2022-01-02 02:20:00,23050912.0837
2022-01-02 02:20:30,23065617.8197
2022-01-02 02:21:00,23080388.4197
2022-01-02 02:21:30,23095222.1637
2022-01-02 02:22:00,23110120.2687
2022-01-02 02:22:30,23125080.9147
2022-01-02 02:23:00,23140104.7387
2022-01-02 02:23:30,23155190.7947
2022-01-02 02:24:00,23170338.9337
2022-01-02 02:24:30,23185547.8987
2022-01-02 02:25:00,23200818.9147
2022-01-02 02:25:30,23216149.9647
2022-01-02 02:26:00,23231540.4657
2022-01-02 02:26:30,23246990.1457
2022-01-02 02:27:00,23262499.8447
2022-01-02 02:27:30,23278067.6487
2022-01-02 02:28:00,23293694.2207
2022-01-02 02:28:30,23309377.8997
2022-01-02 02:29:00,23325119.2987
2022-01-02 02:29:30,23340916.8367
2022-01-02 02:30:00,23356770.7797
2022-01-02 02:30:30,23372679.9787
2022-01-02 02:31:00,23388645.7667
2022-01-02 02:31:30,23404666.1427
2022-01-02 02:32:00,23420740.8967
2022-01-02 02:32:30,23436869.3277
2022-01-02 02:33:00,23453051.0797
2022-01-02 02:33:30,23469286.4027
2022-01-02 02:34:00,23485573.7667
2022-01-02 02:34:30,23501913.4047
2022-01-02 02:35:00,23518304.3707
2022-01-02 02:35:30,23534745.7897
2022-01-02 02:36:00,23551239.0227
2022-01-02 02:36:30,23567781.3107
2022-01-02 02:37:00,23584374.1957
2022-01-02 02:37:30,23601015.0137
2022-01-02 02:38:00,23617705.6217
2022-01-02 02:38:30,23634444.3517
2022-01-02 02:39:00,23651231.3347
2022-01-02 02:39:30,23668063.4567
2022-01-02 02:40:00,23684944.1137
2022-01-02 02:40:30,23701871.6177
2022-01-02 02:41:00,23718844.6597
2022-01-02 02:41:30,23735862.7507
2022-01-02 02:42:00,23752925.6647
2022-01-02 02:42:30,23770032.6607
2022-01-02 02:43:00,23787183.6317
2022-01-02 02:43:30,23804378.7097
2022-01-02 02:44:00,23821616.1387
2022-01-02 02:44:30,23838896.4847
2022-01-02 02:45:00,23856218.8817
2022-01-02 02:45:30,23873582.1227
2022-01-02 02:46:00,23890987.8737
2022-01-02 02:46:30,23908432.4377
2022-01-02 02:47:00,23925919.1267
2022-01-02 02:47:30,23943443.8476
2022-01-02 02:48:00,23961008.0736
2022-01-02 02:48:30,23978611.6006
2022-01-02 02:49:00,23996252.5476
2022-01-02 02:49:30,24013931.1956
2022-01-02 02:50:00,24031647.8197
2022-01-02 02:50:30,24049401.0296
